batch_size,best_acc,best_loss,best_round,dirichlet_alpha,distill_rounds,duration_min,experiment_id,final_acc,final_loss,final_round,group,local_epoch,method,metrics_path,plugin_name,run_id,shared_buffer_size,shared_per_class_size,status
64,0.5991,1.3674259691238404,133,0.1,0,46.07,fedprox_a0p1_e1,0.5865,1.4815184970855713,168,baseline_plugin,1,FedProx,/root/FedFed/result/cifar10/cifar_resnet18__wn5_tn10_sd3001_lr0.01_ne300_bs64_baseline_plugin_5090_20260514T064813Z_fedprox_a0p1_e1_FedProx/metrics.json,none,baseline_plugin_5090_20260514T064813Z_fedprox_a0p1_e1_FedProx,0,0,succeeded
64,0.9049,0.32877879037857055,279,0.1,15,190.27,fedprox_a0p1_e1,0.9025,0.3394621039867401,300,baseline_plugin,1,FedProxFedFedPlugin,/root/FedFed/result/cifar10/cifar_resnet18__wn5_tn10_sd3001_lr0.01_ne300_bs64_baseline_plugin_5090_20260514T064813Z_fedprox_a0p1_e1_FedProxFedFedPlugin/metrics.json,fedfed_image,baseline_plugin_5090_20260514T064813Z_fedprox_a0p1_e1_FedProxFedFedPlugin,0,0,succeeded
64,0.5168,1.357107424545288,161,0.1,0,51.28,scaffold_a0p1_e1,0.4033,1.7934669649124146,196,baseline_plugin,1,SCAFFOLD,/root/FedFed/result/cifar10/cifar_resnet18__wn5_tn10_sd3001_lr0.005_ne300_bs64_scaffold_retry_5090_20260515T001430Z_scaffold_a0p1_e1_SCAFFOLD/metrics.json,none,scaffold_retry_5090_20260515T001430Z_scaffold_a0p1_e1_SCAFFOLD,0,0,succeeded
64,0.5627,1.2385043113708496,172,0.1,15,127.19,scaffold_a0p1_e1,0.5354,1.3353582057952882,207,baseline_plugin,1,SCAFFOLDFedFedPlugin,/root/FedFed/result/cifar10/cifar_resnet18__wn5_tn10_sd3001_lr0.005_ne300_bs64_scaffold_retry_5090_20260515T001430Z_scaffold_a0p1_e1_SCAFFOLDFedFedPlugin/metrics.json,fedfed_image,scaffold_retry_5090_20260515T001430Z_scaffold_a0p1_e1_SCAFFOLDFedFedPlugin,0,0,succeeded
64,0.4952,1.8156530582427979,140,0.1,0,34.81,fedavgm_a0p1_e1,0.4387,2.3378813554763793,175,baseline_plugin,1,FedAvgM,/root/FedFed/result/cifar10/cifar_resnet18__wn5_tn10_sd3001_lr0.01_ne300_bs64_fedavgm_fednova_final_5090_20260515T035707Z_fedavgm_a0p1_e1_FedAvgM/metrics.json,none,fedavgm_fednova_final_5090_20260515T035707Z_fedavgm_a0p1_e1_FedAvgM,0,0,succeeded
64,0.802,0.602944565486908,227,0.1,15,186.09,fedavgm_a0p1_e1,0.7086,1.098297093963623,262,baseline_plugin,1,FedAvgMFedFedPlugin,/root/FedFed/result/cifar10/cifar_resnet18__wn5_tn10_sd3001_lr0.01_ne300_bs64_fedavgm_fednova_final_5090_20260515T035707Z_fedavgm_a0p1_e1_FedAvgMFedFedPlugin/metrics.json,fedfed_image,fedavgm_fednova_final_5090_20260515T035707Z_fedavgm_a0p1_e1_FedAvgMFedFedPlugin,0,0,succeeded
64,0.4704,1.6484155612945557,64,0.1,0,24.13,fednova_a0p1_e1,0.4273,1.9670364583969115,120,baseline_plugin,1,FedNova,/root/FedFed/result/cifar10/cifar_resnet18__wn5_tn10_sd3001_lr0.01_ne300_bs64_fedavgm_fednova_final_5090_20260515T035707Z_fednova_a0p1_e1_FedNova/metrics.json,none,fedavgm_fednova_final_5090_20260515T035707Z_fednova_a0p1_e1_FedNova,0,0,succeeded
64,0.7077,0.85208028049469,172,0.1,15,144.7,fednova_a0p1_e1,0.6287,1.0724552740097046,207,baseline_plugin,1,FedNovaFedFedPlugin,/root/FedFed/result/cifar10/cifar_resnet18__wn5_tn10_sd3001_lr0.01_ne300_bs64_fedavgm_fednova_final_5090_20260515T035707Z_fednova_a0p1_e1_FedNovaFedFedPlugin/metrics.json,fedfed_image,fedavgm_fednova_final_5090_20260515T035707Z_fednova_a0p1_e1_FedNovaFedFedPlugin,0,0,succeeded
