variant,source,noise_type,std1,std2,x_norm_mean,x_norm_p50,x_norm_p90,x_norm_p95,x_norm_p99,x_norm_max,xs_norm_mean,xs_norm_p50,xs_norm_p90,xs_norm_p95,xs_norm_p99,xs_norm_max,xp_norm_mean,xp_norm_p50,xp_norm_p90,xp_norm_p95,xp_norm_p99,xp_norm_max,xr_norm_mean,xr_norm_p50,xr_norm_p90,xr_norm_p95,xr_norm_p99,xr_norm_max,xs_x_ratio_mean,xs_x_ratio_p50,xs_x_ratio_p90,xs_x_ratio_p95,xs_x_ratio_p99,xs_x_ratio_max
none,train,none,0.0,0.0,29.039745330810547,28.642343521118164,37.965708541870114,41.09757556915283,46.489549331665046,54.915679931640625,8.308621406555176,8.196006774902344,10.82388515472412,11.676878547668455,13.411063871383668,19.62369728088379,8.308621406555176,8.196006774902344,10.82388515472412,11.676878547668455,13.411063871383668,19.62369728088379,27.022794723510742,26.717248916625977,35.17245025634766,37.858551216125484,41.55107757568359,45.13536071777344,0.29667994379997253,0.2872391939163208,0.3999894738197327,0.44001557976007455,0.5525517016649247,0.8886181712150574
none,test,none,0.0,0.0,29.278182983398438,28.842166900634766,38.00350379943848,41.31877841949462,47.13714096069336,54.912109375,8.327470779418945,8.231458187103271,10.898815631866455,11.740621709823605,13.525928745269757,20.197237014770508,8.327470779418945,8.231458187103271,10.898815631866455,11.740621709823605,13.525928745269757,20.197237014770508,27.266374588012695,26.94932746887207,35.352639770507814,37.907926559448235,41.759464721679684,45.08902359008789,0.294245183467865,0.2861391454935074,0.3974791169166565,0.4355842977762222,0.5206456565856932,0.8125856518745422
g010_015,train,gaussian,0.1,0.15,29.039745330810547,28.642343521118164,37.965708541870114,41.09757556915283,46.489549331665046,54.915679931640625,8.673369407653809,8.588564395904541,11.245847034454346,12.035340356826783,13.757003688812263,19.78839874267578,10.349696159362793,10.228132724761963,12.538504791259767,13.274040079116821,14.831494436264045,20.574066162109375,26.4481201171875,26.18619155883789,34.91968116760254,37.805701637268065,42.081881790161134,46.0822639465332,0.310058057308197,0.2995559275150299,0.41860842406749726,0.46107480823993674,0.5781085413694385,0.8915066719055176
g010_015,test,gaussian,0.1,0.15,29.278182983398438,28.842166900634766,38.00350379943848,41.31877841949462,47.13714096069336,54.912109375,8.689079284667969,8.599071025848389,11.359165477752684,12.165412950515744,13.953949108123771,20.421323776245117,10.362150192260742,10.227228164672852,12.644576072692871,13.373331880569456,14.936229591369624,21.3004150390625,26.700891494750977,26.41603374481201,34.91873207092285,37.94026489257812,42.30268753051757,46.06657409667969,0.30730193853378296,0.29816338419914246,0.4160114526748657,0.45816474407911284,0.545594475865364,0.7984062433242798
g015_020,train,gaussian,0.15,0.2,29.039745330810547,28.642343521118164,37.965708541870114,41.09757556915283,46.489549331665046,54.915679931640625,8.912216186523438,8.839731693267822,11.487005233764648,12.302540254592895,14.046874237060548,19.90491485595703,12.264623641967773,12.135111331939697,14.191772747039796,14.873982620239257,16.27639820098877,21.61174201965332,26.288476943969727,25.867302894592285,34.65316429138184,37.473178100585926,41.73240955352783,45.79901123046875,0.318251371383667,0.30815543234348297,0.4269440829753876,0.46776613593101485,0.5784133338928223,0.9058427214622498
g015_020,test,gaussian,0.15,0.2,29.278182983398438,28.842166900634766,38.00350379943848,41.31877841949462,47.13714096069336,54.912109375,8.929186820983887,8.863358497619629,11.601890468597412,12.429513120651244,14.141402540206908,19.81189727783203,12.274410247802734,12.146732330322266,14.256227016448975,14.9422089099884,16.451306266784663,21.703794479370117,26.503509521484375,26.077136039733887,34.49365997314453,37.76246318817138,42.14063854217528,45.72368240356445,0.3154800534248352,0.3075004369020462,0.4233123868703842,0.4641739934682846,0.5489292430877679,0.8278916478157043
g020_025,train,gaussian,0.2,0.25,29.039745330810547,28.642343521118164,37.965708541870114,41.09757556915283,46.489549331665046,54.915679931640625,9.110342979431152,9.049355030059814,11.718010807037354,12.574135637283325,14.215987396240239,19.814287185668945,14.434142112731934,14.309232234954834,16.16052989959717,16.784063148498536,18.054482727050786,22.728679656982422,26.044025421142578,25.533008575439453,34.465114974975585,37.48321914672851,41.98171047210695,45.83454513549805,0.3253077268600464,0.3152625411748886,0.4352168172597885,0.47780198454856865,0.5900676840543747,0.9048638939857483
g020_025,test,gaussian,0.2,0.25,29.278182983398438,28.842166900634766,38.00350379943848,41.31877841949462,47.13714096069336,54.912109375,9.1338472366333,9.076913356781006,11.838878059387207,12.62960968017578,14.406422080993641,19.57597541809082,14.444648742675781,14.31459903717041,16.204139709472656,16.831025695800783,18.222165565490723,22.805442810058594,26.268234252929688,25.7658052444458,34.406927490234374,37.70690784454345,42.37933654785156,45.83597183227539,0.32271745800971985,0.3150666356086731,0.4316655874252319,0.47213372439146034,0.5596489459276197,0.8143913149833679
