round,test_acc,test_loss
159,0.7282000000,0.8185889570
160,0.6901000000,0.9734375855
161,0.6936000000,1.0032478848
162,0.6620000000,1.1236019279
163,0.6291000000,1.2408635149
164,0.6854000000,0.9928440742
165,0.7134000000,0.9331885645
166,0.7470000000,0.7743659903
167,0.7727000000,0.6838514366
168,0.7616000000,0.7486341854
169,0.7439000000,0.8185802672
170,0.6481000000,1.1083087489
171,0.6428000000,1.0789208944
172,0.6755000000,1.0022767298
173,0.6951000000,0.9414736457
174,0.7564000000,0.7548646633
175,0.7481000000,0.8151084082
176,0.7152000000,0.9283264399
177,0.7426000000,0.8204492922
178,0.6853000000,1.0171891270
179,0.6048000000,1.3345140509
180,0.5698000000,1.4917947680
181,0.5656000000,1.4921064838
182,0.6096000000,1.3462489532
183,0.6946000000,1.0744713085
184,0.7108000000,0.9516868469
185,0.7345000000,0.8964574593
186,0.7476000000,0.8230521954
187,0.6715000000,1.0510405060
188,0.5709000000,1.5488045752
189,0.4857000000,1.9461619816
190,0.5286000000,1.6838415812
191,0.6780000000,0.9816453656
192,0.7528000000,0.7208478554
193,0.6857000000,1.0024262836
194,0.7654000000,0.7282339733
195,0.7738000000,0.7158828583
196,0.7252000000,0.9379030640
197,0.7017000000,1.0110037594
198,0.6508000000,1.3121629545
199,0.6897000000,1.1107620987
200,0.6991000000,1.0144544361
201,0.7125000000,0.9147057909
202,0.7234000000,0.8269151945
203,0.6961000000,0.9126695603
204,0.6733000000,1.0761757633
205,0.5843000000,1.5633838779
206,0.6441000000,1.0865967522
207,0.6926000000,0.9684082907
208,0.6841000000,0.9661096927
209,0.6535000000,1.1532211920
210,0.6519000000,1.1429594982
211,0.6943000000,0.9766129314
212,0.6560000000,1.2510233332
213,0.6730000000,1.1924496746
214,0.7238000000,0.8955452530
215,0.7043000000,0.9940167603
216,0.7237000000,0.9069881556
217,0.6827000000,1.0917581989
218,0.7595000000,0.7850954612
219,0.7808000000,0.6616757092
220,0.7461000000,0.7731282202
221,0.7199000000,0.8963826137
222,0.6608000000,1.1331454000
223,0.7220000000,0.8640169313
224,0.7343000000,0.8417306898
225,0.7256000000,0.8705374058
226,0.7323000000,0.7915830922
227,0.8020000000,0.6029445655
228,0.7390000000,0.7733508060
229,0.6147000000,1.2284916508
230,0.5346000000,1.7813451576
231,0.6407000000,1.2170747198
232,0.6940000000,0.9785927637
233,0.7154000000,1.0144913069
234,0.7055000000,1.1003314917
235,0.7542000000,0.8069185297
236,0.6853000000,1.0522230129
237,0.7421000000,0.8453350716
238,0.7083000000,0.9598735483
239,0.6793000000,1.0784848606
240,0.7334000000,0.9160818760
241,0.7120000000,0.9723603621
242,0.7171000000,0.9712490612
243,0.7092000000,0.9888297251
244,0.7388000000,0.9141559109
245,0.7669000000,0.7208898458
246,0.7593000000,0.7188877815
247,0.6887000000,1.0163199354
248,0.6314000000,1.2998056160
249,0.6799000000,1.0637129377
250,0.6842000000,1.1426573276
251,0.7236000000,0.9772031038
252,0.7587000000,0.9269317204
253,0.7350000000,1.0019598677
254,0.7108000000,1.0540480770
255,0.7677000000,0.7610340471
256,0.7145000000,0.9483263096
257,0.6957000000,1.0222962912
258,0.7098000000,0.9577365629
259,0.6834000000,1.1335126575
260,0.7040000000,1.0852122968
261,0.6985000000,1.1217509678
262,0.7086000000,1.0982970940
