round,test_acc,test_loss
92,0.4422000000,2.2400542160
93,0.4434000000,2.1988802542
94,0.4832000000,2.4065694006
95,0.4581000000,3.4976156029
96,0.4791000000,2.4266389168
97,0.4658000000,2.5312229439
98,0.4476000000,2.3642683010
99,0.4473000000,2.5834286156
100,0.4310000000,2.8592592247
101,0.4373000000,2.9877318050
102,0.4512000000,2.1608636190
103,0.4444000000,2.1317029827
104,0.3871000000,2.9929439621
105,0.3746000000,3.1004677444
106,0.4129000000,2.3393713161
107,0.4792000000,2.5075681877
108,0.3893000000,4.8576487206
109,0.4868000000,2.6831208458
110,0.4568000000,2.8231070946
111,0.4200000000,2.8662780159
112,0.4171000000,2.8438180897
113,0.4514000000,2.4773477097
114,0.4622000000,2.4888467587
115,0.4803000000,2.4928411526
116,0.4880000000,2.5743108795
117,0.4525000000,2.7554466461
118,0.4933000000,1.9919607719
119,0.4468000000,2.0184748665
120,0.4354000000,2.1694725643
121,0.4132000000,2.2053097130
122,0.4678000000,2.2714214987
123,0.4251000000,3.1870081139
124,0.3899000000,3.9683097878
125,0.4172000000,3.6393644135
126,0.4164000000,2.2880644451
127,0.3675000000,2.8315896065
128,0.3378000000,2.8967514977
129,0.4430000000,2.3692331242
130,0.4239000000,2.8227491776
131,0.4447000000,2.9002466099
132,0.4448000000,3.2211063847
133,0.4477000000,2.8183187508
134,0.4639000000,2.2652693451
135,0.4471000000,2.1481102859
136,0.3787000000,2.9466236000
137,0.3937000000,2.7534295845
138,0.4219000000,2.8250790237
139,0.4133000000,2.4930294861
140,0.4952000000,2.2063461838
141,0.4590000000,2.5192618172
142,0.4639000000,2.5027228752
143,0.3976000000,4.4702770134
144,0.4488000000,2.5459359312
145,0.4266000000,2.2248072021
146,0.4434000000,2.2435047531
147,0.4752000000,2.1364337807
148,0.4247000000,2.5403507820
149,0.4040000000,2.7152797417
150,0.4660000000,2.5288062057
151,0.4581000000,2.7231670258
152,0.4711000000,2.9999721470
153,0.4588000000,3.0066592438
154,0.4260000000,3.1600629379
155,0.4406000000,2.5124131596
156,0.4656000000,2.1416301090
157,0.4176000000,2.4356825691
158,0.3887000000,2.4059291885
159,0.4545000000,2.2668073004
160,0.4784000000,2.0191023937
161,0.4674000000,2.2669855415
162,0.3868000000,2.9725683914
163,0.4232000000,2.6844768242
164,0.4884000000,2.0598698927
165,0.4169000000,2.6031660881
166,0.4884000000,2.0289322140
167,0.4456000000,2.4072034348
168,0.4324000000,2.6420489719
169,0.4420000000,2.3992584938
170,0.4343000000,2.3900685440
171,0.4107000000,2.8129710247
172,0.3275000000,4.4476762878
173,0.3854000000,3.8392238276
174,0.4464000000,2.9753496775
175,0.4387000000,2.3378813555
