batch_size,best_acc,best_loss,best_round,dirichlet_alpha,distill_rounds,duration_min,experiment_id,final_acc,final_loss,final_round,group,local_epoch,method,metrics_path,plugin_name,run_id,shared_buffer_size,shared_per_class_size,status
64,0.4952,1.8156530582427979,140,0.1,0,34.81,fedavgm_a0p1_e1,0.4387,2.3378813554763793,175,baseline_plugin,1,FedAvgM,/root/FedFed/result/cifar10/cifar_resnet18__wn5_tn10_sd3001_lr0.01_ne300_bs64_fedavgm_fednova_final_5090_20260515T035707Z_fedavgm_a0p1_e1_FedAvgM/metrics.json,none,fedavgm_fednova_final_5090_20260515T035707Z_fedavgm_a0p1_e1_FedAvgM,0,0,succeeded
64,0.4704,1.6484155612945557,64,0.1,0,24.13,fednova_a0p1_e1,0.4273,1.9670364583969115,120,baseline_plugin,1,FedNova,/root/FedFed/result/cifar10/cifar_resnet18__wn5_tn10_sd3001_lr0.01_ne300_bs64_fedavgm_fednova_final_5090_20260515T035707Z_fednova_a0p1_e1_FedNova/metrics.json,none,fedavgm_fednova_final_5090_20260515T035707Z_fednova_a0p1_e1_FedNova,0,0,succeeded
64,0.802,0.602944565486908,227,0.1,15,186.09,fedavgm_a0p1_e1,0.7086,1.098297093963623,262,baseline_plugin,1,FedAvgMFedFedPlugin,/root/FedFed/result/cifar10/cifar_resnet18__wn5_tn10_sd3001_lr0.01_ne300_bs64_fedavgm_fednova_final_5090_20260515T035707Z_fedavgm_a0p1_e1_FedAvgMFedFedPlugin/metrics.json,fedfed_image,fedavgm_fednova_final_5090_20260515T035707Z_fedavgm_a0p1_e1_FedAvgMFedFedPlugin,0,0,succeeded
64,0.7077,0.85208028049469,172,0.1,15,144.7,fednova_a0p1_e1,0.6287,1.0724552740097046,207,baseline_plugin,1,FedNovaFedFedPlugin,/root/FedFed/result/cifar10/cifar_resnet18__wn5_tn10_sd3001_lr0.01_ne300_bs64_fedavgm_fednova_final_5090_20260515T035707Z_fednova_a0p1_e1_FedNovaFedFedPlugin/metrics.json,fedfed_image,fedavgm_fednova_final_5090_20260515T035707Z_fednova_a0p1_e1_FedNovaFedFedPlugin,0,0,succeeded
