variant,source,noise_type,std1,std2,clip_norm,x_norm_mean,x_norm_p50,x_norm_p90,x_norm_p95,x_norm_p99,x_norm_max,xs_norm_mean,xs_norm_p50,xs_norm_p90,xs_norm_p95,xs_norm_p99,xs_norm_max,xp_norm_mean,xp_norm_p50,xp_norm_p90,xp_norm_p95,xp_norm_p99,xp_norm_max,xr_norm_mean,xr_norm_p50,xr_norm_p90,xr_norm_p95,xr_norm_p99,xr_norm_max,xs_x_ratio_mean,xs_x_ratio_p50,xs_x_ratio_p90,xs_x_ratio_p95,xs_x_ratio_p99,xs_x_ratio_max
A0_noclip_none,train,none,0.0,0.0,0.0,29.039745330810547,28.642343521118164,37.9657096862793,41.09757614135742,46.489540100097656,54.915679931640625,8.26572036743164,8.156087875366211,10.71444320678711,11.510156631469727,13.22674560546875,19.752164840698242,8.26572036743164,8.156087875366211,10.71444320678711,11.510156631469727,13.22674560546875,19.752164840698242,26.858592987060547,26.493450164794922,34.83268737792969,37.47267150878906,41.36876678466797,45.43262481689453,0.29562410712242126,0.285270631313324,0.3986932337284088,0.44039177894592285,0.5521662831306458,0.8860251903533936
A0_noclip_none,test,none,0.0,0.0,0.0,29.278182983398438,28.842166900634766,38.003501892089844,41.31877899169922,47.137142181396484,54.912109375,8.287023544311523,8.19951057434082,10.828400611877441,11.605924606323242,13.266319274902344,20.5468692779541,8.287023544311523,8.19951057434082,10.828400611877441,11.605924606323242,13.266319274902344,20.5468692779541,27.085073471069336,26.694461822509766,34.961761474609375,37.5672492980957,41.31545639038086,45.39044189453125,0.29328399896621704,0.28432995080947876,0.39701494574546814,0.4357929229736328,0.5204071402549744,0.8123548030853271
A1_noclip_g020_025,train,gaussian,0.2,0.25,0.0,29.039745330810547,28.642343521118164,37.9657096862793,41.09757614135742,46.489540100097656,54.915679931640625,8.844039916992188,8.765539169311523,11.445903778076172,12.272102355957031,13.954209327697754,19.70948600769043,14.265496253967285,14.12680435180664,15.945661544799805,16.541501998901367,17.83655548095703,23.016372680664062,26.418352127075195,26.215011596679688,34.68693542480469,37.54805374145508,41.63003158569336,45.53981399536133,0.3158420920372009,0.30578458309173584,0.42454543709754944,0.46675124764442444,0.5805456638336182,0.9058445692062378
A1_noclip_g020_025,test,gaussian,0.2,0.25,0.0,29.278182983398438,28.842166900634766,38.003501892089844,41.31877899169922,47.137142181396484,54.912109375,8.865352630615234,8.791990280151367,11.519309043884277,12.294501304626465,13.985645294189453,19.47417640686035,14.288122177124023,14.144123077392578,16.019947052001953,16.562511444091797,17.88819122314453,22.23317527770996,26.661788940429688,26.37578582763672,34.79537582397461,37.74945831298828,42.053009033203125,45.536922454833984,0.31330451369285583,0.30481332540512085,0.42197057604789734,0.46348726749420166,0.5506862998008728,0.8213915228843689
C14_g020_025,train,gaussian,0.2,0.25,14.0,29.039745330810547,28.642343521118164,37.9657096862793,41.09757614135742,46.489540100097656,54.915679931640625,8.711105346679688,8.639823913574219,11.327284812927246,12.160466194152832,13.87667465209961,14.000001907348633,14.182694435119629,14.048287391662598,15.856740951538086,16.472843170166016,17.69622802734375,18.238067626953125,26.8953800201416,26.36353302001953,36.05523681640625,39.25986099243164,43.517921447753906,46.750938415527344,0.31143057346343994,0.3021864891052246,0.42038413882255554,0.46241137385368347,0.5748766660690308,0.9098981022834778
C14_g020_025,test,gaussian,0.2,0.25,14.0,29.278182983398438,28.842166900634766,38.003501892089844,41.31877899169922,47.137142181396484,54.912109375,8.731884956359863,8.667203903198242,11.372716903686523,12.208741188049316,13.999999046325684,14.000001907348633,14.203351974487305,14.062347412109375,15.917348861694336,16.522058486938477,17.671571731567383,18.244638442993164,27.15571403503418,26.615264892578125,36.180084228515625,39.34738540649414,43.747962951660156,46.72304153442383,0.30895498394966125,0.3012917637825012,0.417368084192276,0.45588961243629456,0.5453073382377625,0.8374225497245789
C12_g020_025,train,gaussian,0.2,0.25,12.0,29.039745330810547,28.642343521118164,37.9657096862793,41.09757614135742,46.489540100097656,54.915679931640625,9.08493423461914,9.1490478515625,11.811161041259766,12.0,12.000000953674316,12.00000286102295,14.406486511230469,14.372991561889648,16.12941551208496,16.333126068115234,16.53652572631836,16.879173278808594,25.033124923706055,24.73183822631836,32.13326644897461,34.77437973022461,39.4072265625,44.60839080810547,0.3228251039981842,0.3136439323425293,0.42061376571655273,0.4575050175189972,0.5598593950271606,0.8993546366691589
C12_g020_025,test,gaussian,0.2,0.25,12.0,29.278182983398438,28.842166900634766,38.003501892089844,41.31877899169922,47.137142181396484,54.912109375,9.115264892578125,9.178556442260742,11.895984649658203,12.0,12.000000953674316,12.000000953674316,14.43643569946289,14.375630378723145,16.15567970275879,16.36940574645996,16.594524383544922,16.886211395263672,25.230417251586914,24.869464874267578,32.222740173339844,35.10933303833008,39.98235321044922,44.55345916748047,0.3206445574760437,0.3131124675273895,0.41600316762924194,0.45065534114837646,0.5346519351005554,0.8319688439369202
C10_g020_025,train,gaussian,0.2,0.25,10.0,29.039745330810547,28.642343521118164,37.9657096862793,41.09757614135742,46.489540100097656,54.915679931640625,8.151070594787598,8.280196189880371,10.0,10.0,10.000000953674316,10.000001907348633,13.813457489013672,13.840773582458496,14.943103790283203,15.049910545349121,15.203619956970215,15.49217700958252,26.868499755859375,26.471900939941406,35.45240783691406,38.51393508911133,43.36180877685547,47.82821273803711,0.2926346957683563,0.2848983407020569,0.3889324963092804,0.4252595007419586,0.5306881070137024,0.8680628538131714
C10_g020_025,test,gaussian,0.2,0.25,10.0,29.278182983398438,28.842166900634766,38.003501892089844,41.31877899169922,47.137142181396484,54.912109375,8.158905029296875,8.314261436462402,10.0,10.0,10.000000953674316,10.000000953674316,13.827484130859375,13.853038787841797,14.955557823181152,15.053132057189941,15.224443435668945,15.517316818237305,27.109556198120117,26.60247039794922,35.53422546386719,38.746646881103516,43.64251708984375,47.81365966796875,0.28986886143684387,0.28394103050231934,0.3826439082622528,0.41788220405578613,0.49830982089042664,0.7975861430168152
C12_g010_015,train,gaussian,0.1,0.15,12.0,29.039745330810547,28.642343521118164,37.9657096862793,41.09757614135742,46.489540100097656,54.915679931640625,8.504737854003906,8.483549118041992,11.033929824829102,11.809123039245605,12.0,12.000000953674316,10.202835083007812,10.127826690673828,12.358525276184082,13.04100227355957,13.291275978088379,13.530694961547852,26.058395385742188,25.553977966308594,34.549339294433594,37.58345413208008,42.26795959472656,46.92118835449219,0.3041507601737976,0.29567426443099976,0.4069400429725647,0.4452955722808838,0.5510852336883545,0.8823404908180237
C12_g010_015,test,gaussian,0.1,0.15,12.0,29.278182983398438,28.842166900634766,38.003501892089844,41.31877899169922,47.137142181396484,54.912109375,8.526464462280273,8.498106002807617,11.117668151855469,11.896188735961914,12.000000953674316,12.000000953674316,10.224212646484375,10.159653663635254,12.445858001708984,13.077290534973145,13.307504653930664,13.523362159729004,26.288991928100586,25.720699310302734,34.648292541503906,37.78049087524414,42.58164596557617,46.894046783447266,0.3018060028553009,0.2944488525390625,0.40323999524116516,0.4400162696838379,0.5188579559326172,0.8139681220054626
C12_g015_020,train,gaussian,0.15,0.2,12.0,29.039745330810547,28.642343521118164,37.9657096862793,41.09757614135742,46.489540100097656,54.915679931640625,8.538350105285645,8.499279022216797,11.087642669677734,11.853157997131348,12.000000953674316,12.000000953674316,11.986101150512695,11.880805015563965,13.87430477142334,14.417471885681152,14.711691856384277,15.08290958404541,26.442901611328125,26.08368682861328,35.20579528808594,38.02729797363281,42.28147506713867,46.416866302490234,0.30553779006004333,0.2957736849784851,0.41029274463653564,0.4497337341308594,0.5599921941757202,0.9094523191452026
C12_g015_020,test,gaussian,0.15,0.2,12.0,29.278182983398438,28.842166900634766,38.003501892089844,41.31877899169922,47.137142181396484,54.912109375,8.550321578979492,8.527536392211914,11.18915843963623,11.951797485351562,12.000000953674316,12.000000953674316,12.002415657043457,11.89954948425293,13.9401216506958,14.45039176940918,14.739021301269531,15.033124923706055,26.688030242919922,26.291934967041016,35.2025260925293,38.246097564697266,42.779136657714844,46.405216217041016,0.30277588963508606,0.2948121726512909,0.4058561623096466,0.4440745711326599,0.5289137363433838,0.8187713027000427
C12_g025_030,train,gaussian,0.25,0.3,12.0,29.039745330810547,28.642343521118164,37.9657096862793,41.09757614135742,46.489540100097656,54.915679931640625,8.641105651855469,8.612020492553711,11.260910034179688,11.999999046325684,12.000000953674316,12.000000953674316,16.402618408203125,16.310489654541016,17.867206573486328,18.21208953857422,18.52403450012207,18.99416160583496,26.878271102905273,26.440994262695312,34.997413635253906,38.007301330566406,42.37248992919922,46.62347412109375,0.3091616630554199,0.29928189516067505,0.41629090905189514,0.4557616412639618,0.5630859732627869,0.8962004780769348
C12_g025_030,test,gaussian,0.25,0.3,12.0,29.278182983398438,28.842166900634766,38.003501892089844,41.31877899169922,47.137142181396484,54.912109375,8.662942886352539,8.636398315429688,11.347782135009766,11.999999046325684,12.000000953674316,12.000000953674316,16.426902770996094,16.328479766845703,17.89677619934082,18.25934600830078,18.58144187927246,18.9934024810791,27.091686248779297,26.542009353637695,35.1193733215332,38.224449157714844,42.96723175048828,46.5914192199707,0.3067842423915863,0.2982674241065979,0.4113026261329651,0.4500228464603424,0.5409796833992004,0.8416545987129211
C14_g015_020,train,gaussian,0.15,0.2,14.0,29.039745330810547,28.642343521118164,37.9657096862793,41.09757614135742,46.489540100097656,54.915679931640625,8.637641906738281,8.570953369140625,11.208992004394531,12.006264686584473,13.7941312789917,14.000001907348633,12.065286636352539,11.935544967651367,13.970726013183594,14.633848190307617,16.041305541992188,16.594091415405273,26.14705467224121,25.82834243774414,34.14665603637695,36.91108703613281,41.429542541503906,46.112369537353516,0.30806607007980347,0.2981335520744324,0.41164451837539673,0.4530419409275055,0.5647093653678894,0.9155986905097961
C14_g015_020,test,gaussian,0.15,0.2,14.0,29.278182983398438,28.842166900634766,38.003501892089844,41.31877899169922,47.137142181396484,54.912109375,8.656129837036133,8.582921981811523,11.312920570373535,12.041802406311035,13.888081550598145,14.000000953674316,12.084759712219238,11.945642471313477,14.030953407287598,14.665725708007812,16.154808044433594,16.591886520385742,26.39312744140625,26.01742172241211,34.27655792236328,37.0445442199707,41.75802230834961,46.01171875,0.305541455745697,0.297454297542572,0.4095991253852844,0.4493080973625183,0.5282548069953918,0.8210175037384033
C10_g015_020,train,gaussian,0.15,0.2,10.0,29.039745330810547,28.642343521118164,37.9657096862793,41.09757614135742,46.489540100097656,54.915679931640625,8.122750282287598,8.249773025512695,10.0,10.0,10.000000953674316,10.000001907348633,11.676607131958008,11.705911636352539,13.005043029785156,13.092010498046875,13.225861549377441,13.452683448791504,26.93229866027832,26.518226623535156,35.71233367919922,39.004608154296875,43.673179626464844,47.878963470458984,0.2916978895664215,0.28277161717414856,0.38857966661453247,0.426628977060318,0.5310457348823547,0.8766492605209351
C10_g015_020,test,gaussian,0.15,0.2,10.0,29.278182983398438,28.842166900634766,38.003501892089844,41.31877899169922,47.137142181396484,54.912109375,8.13012981414795,8.274203300476074,10.0,10.0,10.000000953674316,10.000000953674316,11.686726570129395,11.727584838867188,13.011896133422852,13.099529266357422,13.226786613464355,13.476679801940918,27.182056427001953,26.66851806640625,35.81646728515625,39.226783752441406,44.223697662353516,47.82668685913086,0.28897881507873535,0.28189998865127563,0.38398459553718567,0.41884762048721313,0.5022160410881042,0.7982712388038635
