batch_size,best_acc,best_loss,best_round,dirichlet_alpha,distill_rounds,duration_min,experiment_id,final_acc,final_loss,final_round,group,local_epoch,method,metrics_path,plugin_name,run_id,shared_buffer_size,shared_per_class_size,status
64,0.5991,1.3674259691238404,133,0.1,0,46.07,fedprox_a0p1_e1,0.5865,1.4815184970855713,168,baseline_plugin,1,FedProx,/root/FedFed/result/cifar10/cifar_resnet18__wn5_tn10_sd3001_lr0.01_ne300_bs64_baseline_plugin_5090_20260514T064813Z_fedprox_a0p1_e1_FedProx/metrics.json,none,baseline_plugin_5090_20260514T064813Z_fedprox_a0p1_e1_FedProx,0,0,succeeded
64,0.9049,0.32877879037857055,279,0.1,15,190.27,fedprox_a0p1_e1,0.9025,0.3394621039867401,300,baseline_plugin,1,FedProxFedFedPlugin,/root/FedFed/result/cifar10/cifar_resnet18__wn5_tn10_sd3001_lr0.01_ne300_bs64_baseline_plugin_5090_20260514T064813Z_fedprox_a0p1_e1_FedProxFedFedPlugin/metrics.json,fedfed_image,baseline_plugin_5090_20260514T064813Z_fedprox_a0p1_e1_FedProxFedFedPlugin,0,0,succeeded
64,0.5168,1.357107424545288,161,0.1,0,51.28,scaffold_a0p1_e1,0.4033,1.7934669649124146,196,baseline_plugin,1,SCAFFOLD,/root/FedFed/result/cifar10/cifar_resnet18__wn5_tn10_sd3001_lr0.005_ne300_bs64_scaffold_retry_5090_20260515T001430Z_scaffold_a0p1_e1_SCAFFOLD/metrics.json,none,scaffold_retry_5090_20260515T001430Z_scaffold_a0p1_e1_SCAFFOLD,0,0,succeeded
64,0.5627,1.2385043113708496,172,0.1,15,127.19,scaffold_a0p1_e1,0.5354,1.3353582057952882,207,baseline_plugin,1,SCAFFOLDFedFedPlugin,/root/FedFed/result/cifar10/cifar_resnet18__wn5_tn10_sd3001_lr0.005_ne300_bs64_scaffold_retry_5090_20260515T001430Z_scaffold_a0p1_e1_SCAFFOLDFedFedPlugin/metrics.json,fedfed_image,scaffold_retry_5090_20260515T001430Z_scaffold_a0p1_e1_SCAFFOLDFedFedPlugin,0,0,succeeded
