variant,noise_type,std1,std2,clip_norm,noise_shape,ce_on_noisy_xs,x_to_x_final_acc,xp_to_xp_final_acc,x_plus_xp_to_x_final_acc,x_plus_xp_to_x_best_acc,attack_auc,attack_acc,member_recall,member_precision,attack_mode,shadow_models,shadow_train_samples,shadow_test_samples,member_count,nonmember_count,inversion_mse,inversion_l1,inversion_psnr,figure
A0_noclip_none,none,0.0,0.0,0.0,paper,False,0.675,0.6713,0.6995,0.7153,0.7016288888888889,0.6343333333333333,0.968,0.5805677728908437,shadow,5,800,800,1500,1500,0.012236034497618675,0.08218833804130554,19.123593072590893,result\cifar10\fedfed_privacy_probe_fedfed_privacy_strong_mia_win_20260514T055632Z\figures\inversion_A0_noclip_none.png
C10_g015_020,gaussian,0.15,0.2,10.0,paper,True,0.6821,0.5514,0.6785,0.6887,0.7693057777777778,0.6916666666666667,0.9773333333333334,0.621977089520577,shadow,5,800,800,1500,1500,0.017754480242729187,0.10419009625911713,17.506920370215415,result\cifar10\fedfed_privacy_probe_fedfed_privacy_strong_mia_win_20260514T055632Z\figures\inversion_C10_g015_020.png
