variant,source,noise_type,std1,std2,clip_norm,x_norm_mean,x_norm_p50,x_norm_p90,x_norm_p95,x_norm_p99,x_norm_max,xs_norm_mean,xs_norm_p50,xs_norm_p90,xs_norm_p95,xs_norm_p99,xs_norm_max,xp_norm_mean,xp_norm_p50,xp_norm_p90,xp_norm_p95,xp_norm_p99,xp_norm_max,xr_norm_mean,xr_norm_p50,xr_norm_p90,xr_norm_p95,xr_norm_p99,xr_norm_max,xs_x_ratio_mean,xs_x_ratio_p50,xs_x_ratio_p90,xs_x_ratio_p95,xs_x_ratio_p99,xs_x_ratio_max
A0_noclip_none,train,none,0.0,0.0,0.0,29.039745330810547,28.642343521118164,37.965708541870114,41.09757556915283,46.489549331665046,54.915679931640625,8.302119255065918,8.161569118499756,10.774847888946535,11.612455558776855,13.33071625709534,19.602243423461914,8.302119255065918,8.161569118499756,10.774847888946535,11.612455558776855,13.33071625709534,19.602243423461914,26.944744110107422,26.447020530700684,34.85886764526367,37.5589111328125,41.66570285797119,45.41107940673828,0.2968920171260834,0.28633975982666016,0.4000087767839432,0.4425712674856185,0.5569207227230072,0.8969957232475281
A0_noclip_none,test,none,0.0,0.0,0.0,29.099363327026367,28.673087120056152,38.03042716979981,41.07451705932617,46.72654491424561,54.912109375,8.304512023925781,8.205685138702393,10.742283821105959,11.607153940200806,13.285502243041993,23.230575561523438,8.304512023925781,8.205685138702393,10.742283821105959,11.607153940200806,13.285502243041993,23.230575561523438,27.00432777404785,26.506729125976562,34.981213378906254,37.44624080657958,41.54192573547364,45.357391357421875,0.29607093334198,0.2858637869358063,0.3998022645711899,0.43889797627925853,0.5320844584703446,1.0789055824279785
C10_g015_020,train,gaussian,0.15,0.2,10.0,29.039745330810547,28.642343521118164,37.965708541870114,41.09757556915283,46.489549331665046,54.915679931640625,8.18452262878418,8.32701301574707,10.0,10.0,10.000000953674316,10.000001907348633,11.717438697814941,11.75974416732788,13.012520027160644,13.093776226043701,13.223099880218506,13.468609809875488,26.69782257080078,26.47822856903076,34.9025676727295,37.87860794067383,42.83577529907227,47.69831466674805,0.29389452934265137,0.2852150499820709,0.39089588522911073,0.42971438914537413,0.5341917204856874,0.8829888701438904
C10_g015_020,test,gaussian,0.15,0.2,10.0,29.099363327026367,28.673087120056152,38.03042716979981,41.07451705932617,46.72654491424561,54.912109375,8.194873809814453,8.357872009277344,10.0,10.0,10.000000953674316,10.000001907348633,11.724499702453613,11.789757251739502,13.011646842956543,13.100385618209838,13.242542572021485,13.505096435546875,26.760417938232422,26.487024307250977,34.984412002563474,37.70679626464844,42.7358930206299,47.72116470336914,0.2934010326862335,0.2848023325204849,0.3893133014440537,0.42775737196207037,0.5120311254262927,0.9462029337882996
