round,test_acc,test_loss
94,0.5451000000,1.3873079399
95,0.5438000000,1.5053725260
96,0.4815000000,1.8046387863
97,0.4720000000,1.5456642544
98,0.4465000000,1.6271201138
99,0.5423000000,1.6179541412
100,0.4477000000,1.6971257219
101,0.5311000000,1.3549118332
102,0.4743000000,1.5104254961
103,0.4317000000,1.9751693630
104,0.5305000000,1.4937987137
105,0.5086000000,1.4634543392
106,0.4334000000,1.8878981369
107,0.5591000000,1.2389565987
108,0.4809000000,1.4932543453
109,0.5735000000,1.1960404449
110,0.4410000000,1.8220419449
111,0.4333000000,1.9200996223
112,0.5221000000,1.4036743614
113,0.5235000000,1.4257772591
114,0.4332000000,1.9083486294
115,0.5269000000,1.5369708353
116,0.5500000000,1.3213335451
117,0.5404000000,1.2394915897
118,0.5606000000,1.4376441532
119,0.5524000000,1.2711094629
120,0.4469000000,1.8834503620
121,0.4313000000,2.3106415623
122,0.5055000000,1.4601545641
123,0.5908000000,1.2496886812
124,0.5798000000,1.1905377804
125,0.5450000000,1.3156624517
126,0.5168000000,1.3938179729
127,0.5087000000,1.4611786098
128,0.4280000000,1.7558377655
129,0.6146000000,1.0823022764
130,0.5747000000,1.2097562981
131,0.5591000000,1.2768497868
132,0.5073000000,1.5507056400
133,0.3900000000,1.8389250607
134,0.4982000000,1.5870972691
135,0.4476000000,2.0014984146
136,0.4944000000,1.5508526031
137,0.6148000000,1.0467599220
138,0.4931000000,1.5140339998
139,0.5655000000,1.3443404694
140,0.4110000000,1.9557963226
141,0.5542000000,1.3591507370
142,0.4928000000,1.7663457405
143,0.5837000000,1.1985921637
144,0.5729000000,1.2313290798
145,0.6233000000,1.0562887941
146,0.5487000000,1.2683892002
147,0.5920000000,1.1831354450
148,0.4612000000,1.6651801781
149,0.4186000000,2.0411176765
150,0.4879000000,1.5680814125
151,0.5366000000,1.4972630005
152,0.6079000000,1.1788691160
153,0.5492000000,1.5623709164
154,0.5867000000,1.1877435638
155,0.5478000000,1.3052350849
156,0.5761000000,1.2282301203
157,0.6215000000,1.0620405617
158,0.5512000000,1.2817923519
159,0.5348000000,1.3992109303
160,0.4360000000,2.2394673378
161,0.5717000000,1.1498519979
162,0.4820000000,1.4992599720
163,0.6075000000,1.1347596775
164,0.5781000000,1.2049524857
165,0.6014000000,1.2059369843
166,0.6480000000,0.9770564658
167,0.5357000000,1.3237149399
168,0.5359000000,1.6258084133
169,0.5989000000,1.1549574791
170,0.6657000000,0.9478426483
171,0.5795000000,1.1990112062
172,0.7077000000,0.8520802805
173,0.4954000000,1.9269410583
174,0.5813000000,1.2581885456
175,0.6416000000,1.0299228436
176,0.5398000000,1.4544088825
177,0.6437000000,1.0203236259
178,0.5469000000,1.3311036285
179,0.5466000000,1.4814104053
180,0.6368000000,1.0506577948
181,0.5386000000,1.3426852148
182,0.6097000000,1.1010659580
183,0.6451000000,1.1423698503
184,0.5668000000,1.3226965801
185,0.6620000000,0.9574793835
186,0.6229000000,1.0370786129
187,0.5561000000,1.3412498835
188,0.5760000000,1.3528336983
189,0.5607000000,1.3245706207
190,0.5756000000,1.1874683086
191,0.5997000000,1.1337794441
192,0.6373000000,1.0345671101
193,0.5586000000,1.3214233658
194,0.6289000000,1.1678455214
195,0.6114000000,1.2283677605
196,0.5852000000,1.2537219698
197,0.5783000000,1.2019489826
198,0.5656000000,1.3486957962
199,0.6122000000,1.1137116964
200,0.5883000000,1.2449868050
201,0.5697000000,1.2167945917
202,0.5298000000,1.3842672842
203,0.5708000000,1.1971236229
204,0.5858000000,1.1973875174
205,0.4038000000,2.6927812393
206,0.5295000000,1.3528194534
207,0.6287000000,1.0724552740
